fixed_acidity,citric_acid,wine_color,median_wine_quality
6.0,0.35,white,5
6.7,0.49,white,5
6.5,0.37,white,7
6.4,0.24,white,6
7.0,0.19,red,5
6.6,0.35,white,7
5.6,0.27,white,6
6.6,0.3,white,6
6.6,0.32,white,7
7.1,0.36,white,7
7.0,0.1,white,5
7.8,0.29,white,6
6.5,0.52,white,6
5.7,0.32,white,6
6.8,0.44,white,5
7.3,0.18,red,6
7.5,0.33,white,6
7.4,0.19,red,5
9.4,0.3,white,5
6.3,0.19,white,6
7.9,0.24,red,6
7.5,0.27,red,6
6.5,0.31,white,7
6.5,0.38,white,6
6.0,0.29,white,5
6.5,0.12,white,5
8.1,0.28,white,6
8.2,0.43,white,6
5.8,0.21,white,6
7.0,0.32,white,5
6.8,0.3,white,5
7.0,0.24,white,6
8.3,0.1,red,5
5.0,0.18,white,7
6.5,0.3,white,7
6.5,0.41,white,5
7.5,0.23,white,5
7.5,0.42,red,6
7.3,0.31,white,6
8.6,0.42,white,7
6.3,0.46,white,6
5.0,0.0,red,6
7.8,0.26,white,6
8.6,0.65,red,5
5.2,0.02,white,6
6.9,0.32,white,7
7.8,0.38,white,5
6.9,0.24,white,5
5.6,0.19,white,6
6.9,0.24,red,4
7.0,0.3,white,6
8.2,0.38,red,5
10.2,0.57,red,5
7.5,0.32,white,6
6.5,0.28,white,7
7.7,0.58,white,5
6.5,0.0,red,6
7.5,0.39,white,6
9.9,0.41,red,5
7.4,0.05,red,6
6.8,0.18,white,5
6.6,0.24,white,6
7.5,0.48,white,5
7.5,0.03,red,5
6.7,0.32,white,7
8.0,0.42,white,5
8.0,0.35,red,5
7.1,0.39,white,7
7.0,0.28,white,6
6.8,0.36,white,6
6.3,0.34,white,7
7.7,0.43,red,5
10.2,0.4,red,6
7.2,0.34,white,6
6.7,0.28,white,7
6.5,0.25,white,6
5.7,0.0,red,6
7.8,0.13,red,6
6.7,0.33,white,6
6.2,0.42,white,6
6.2,0.49,white,6
8.9,0.37,white,5
7.3,0.27,white,7
7.8,0.56,white,5
6.1,0.28,white,6
7.0,0.48,white,6
8.3,0.29,red,6
10.4,0.23,red,6
8.4,0.27,white,6
8.1,0.34,white,6
7.1,0.44,red,6
6.8,0.5,white,5
8.1,0.24,white,5
7.9,0.4,white,6
6.9,0.37,white,5
6.9,0.74,white,5
8.3,0.49,white,5
6.4,0.32,white,6
7.9,0.28,white,6
7.4,0.16,red,6
7.7,0.0,red,5
6.8,0.34,white,7
6.4,0.29,white,5
6.9,0.29,white,6
7.8,0.26,red,6
5.2,0.37,white,6
6.5,0.27,white,6
8.3,0.01,red,4
6.3,0.37,white,6
7.0,0.38,white,8
7.4,0.0,red,3
5.7,0.27,white,5
6.4,0.46,white,6
7.5,0.31,white,6
7.3,0.49,white,7
7.6,0.39,white,6
6.0,0.27,white,7
10.4,0.48,red,6
8.8,0.45,white,7
7.7,0.32,white,6
6.8,0.24,white,6
8.1,0.36,red,7
9.3,0.41,red,5
7.7,0.01,red,7
10.5,0.47,red,7
5.8,0.31,white,7
7.4,0.49,white,6
8.2,0.36,white,8
6.2,0.39,white,6
6.8,0.33,white,6
6.7,0.36,white,5
5.3,0.39,white,6
6.9,0.22,white,5
5.0,0.5,red,6
6.5,0.35,white,6
6.0,0.32,white,6
5.7,0.35,white,6
9.9,0.45,red,5
5.1,0.22,white,7
7.2,0.2,white,5
5.8,0.16,white,7
6.7,0.42,white,7
7.7,0.49,white,8
4.9,0.14,white,5
8.4,0.38,white,6
9.2,0.1,red,6
7.0,0.26,white,6
6.5,0.24,white,6
6.2,0.35,white,3
7.3,0.26,red,5
7.2,0.22,white,5
6.3,0.0,red,6
6.6,0.29,white,6
7.6,0.37,white,5
7.8,0.49,white,7
6.7,0.34,white,5
7.6,0.32,white,5
7.2,0.31,white,6
6.1,0.29,white,6
8.2,0.29,white,6
8.9,0.28,white,6
5.7,0.24,white,6
10.6,0.37,red,5
6.9,0.03,red,6
7.1,0.19,white,5
9.5,0.27,red,5
5.4,0.15,white,8
5.7,0.28,white,6
8.9,0.49,white,5
12.2,0.54,red,6
14.2,0.49,white,6
9.5,0.44,red,5
9.0,0.29,red,5
6.6,0.37,white,5
6.1,0.25,red,5
6.2,0.38,white,6
6.8,0.27,white,4
7.9,0.23,red,5
7.7,0.24,white,6
6.6,0.28,white,6
8.5,0.51,red,7
7.3,0.37,white,6
7.3,0.42,white,6
6.9,0.33,white,6
8.2,0.29,red,5
6.7,0.45,white,6
7.2,0.39,white,6
6.9,0.17,white,5
7.0,0.35,white,6
8.3,0.26,red,4
8.2,0.2,red,5
10.4,0.45,red,6
8.0,0.27,white,6
6.2,0.36,white,6
7.0,0.47,white,6
7.5,0.47,white,5
6.0,0.28,white,7
6.3,0.2,white,5
7.4,0.26,white,5
6.1,0.25,white,6
7.8,0.5,white,6
6.3,0.26,white,7
5.6,0.09,red,5
6.4,0.25,white,7
7.6,1.23,white,6
7.1,0.28,white,5
7.5,0.34,white,7
8.2,0.35,red,5
7.6,0.44,white,6
8.2,0.37,red,6
6.9,0.49,white,6
10.0,0.39,white,6
7.6,0.42,red,6
6.9,0.16,white,6
5.7,0.3,white,7
6.2,0.44,white,5
6.9,0.35,white,6
6.2,0.34,white,6
5.3,0.33,white,8
6.2,0.33,white,7
6.6,0.38,white,7
7.6,0.58,white,5
8.2,0.1,red,6
9.2,0.68,white,6
9.0,0.41,red,7
7.4,0.31,white,5
6.1,0.49,white,5
6.9,0.12,red,6
7.9,0.32,white,7
6.6,0.0,red,5
6.2,0.02,white,4
6.9,0.43,white,5
6.6,0.31,white,6
5.9,0.29,white,7
7.0,0.3,red,6
8.5,0.28,white,7
6.6,0.49,red,6
8.8,0.35,white,6
8.4,0.42,red,6
7.3,0.29,white,5
6.5,0.33,white,7
8.2,1.0,white,5
7.2,0.46,red,7
6.8,0.39,white,6
5.7,0.5,white,6
8.2,0.4,white,6
7.6,0.24,red,6
8.8,0.18,red,5
6.0,0.41,white,7
7.1,0.23,white,6
4.8,0.23,white,6
6.8,0.02,red,6
7.2,0.29,white,7
13.2,0.55,red,5
6.6,0.34,white,6
7.0,0.0,red,5
7.9,0.51,white,5
4.4,0.09,white,7
6.9,0.26,white,6
8.9,0.48,red,6
7.0,0.37,white,6
6.4,0.26,white,5
8.4,0.29,red,5
7.1,0.33,white,6
7.2,0.3,white,6
5.7,0.25,white,6
6.8,0.22,red,6
8.4,0.19,red,4
9.2,0.54,white,6
8.1,0.18,red,6
7.9,0.45,white,7
6.4,0.19,white,4
7.2,0.32,white,6
9.6,0.5,red,5
8.8,0.43,white,6
7.1,0.18,red,5
6.2,0.22,white,6
7.7,0.68,red,7
5.6,0.49,white,6
10.0,0.43,red,5
7.4,0.22,white,7
6.4,0.2,white,4
8.2,0.24,red,6
7.1,0.32,white,6
6.1,0.2,white,5
6.8,0.69,white,5
7.4,0.09,white,5
6.0,0.24,white,7
10.0,0.47,red,6
7.5,0.29,white,7
8.7,0.32,white,7
7.1,0.72,white,5
9.8,0.39,red,7
6.3,0.51,white,6
6.4,0.49,white,6
6.3,0.18,white,5
6.4,0.21,white,5
6.7,0.27,white,7
7.9,0.21,red,5
7.6,0.34,white,5
8.6,0.39,red,8
6.7,0.13,white,5
6.2,0.54,white,5
8.4,0.28,white,5
7.1,0.62,white,6
5.7,0.46,white,5
8.2,0.26,red,5
8.7,0.0,red,5
7.3,0.44,white,7
7.4,0.3,white,7
6.3,0.3,white,6
7.8,0.29,red,5
5.9,0.47,white,7
9.2,0.24,red,5
7.5,0.02,red,6
6.4,0.35,white,5
8.8,0.05,red,4
7.0,0.05,white,6
7.7,0.06,red,6
7.3,0.33,white,7
10.1,0.44,red,6
7.2,0.4,white,5
6.9,0.2,red,4
6.0,0.33,white,7
6.2,0.21,white,5
7.7,0.35,white,5
7.1,0.34,white,6
8.9,0.45,red,7
7.2,0.36,white,6
6.6,0.46,white,5
7.0,0.36,white,6
6.6,0.25,white,7
7.4,0.26,red,6
6.0,0.17,white,6
5.4,0.27,white,8
6.6,0.33,white,6
7.4,0.37,white,6
7.7,0.04,red,5
6.8,0.37,white,6
6.4,0.3,white,6
10.0,0.27,white,6
6.2,0.29,white,6
7.5,0.57,red,6
6.7,0.3,white,6
6.4,0.44,white,5
6.3,0.5,white,6
6.3,0.44,white,5
8.6,0.34,white,6
9.6,0.36,red,5
6.7,0.38,white,6
7.2,0.28,white,7
7.5,0.1,white,5
10.1,0.35,red,7
7.2,0.27,white,6
9.4,0.47,red,5
7.7,0.29,white,6
7.9,0.49,white,5
8.7,0.41,red,7
8.1,0.31,white,6
5.3,0.31,white,6
9.3,0.39,red,6
6.9,0.36,white,4
8.2,0.42,red,6
6.2,0.17,white,5
6.15,0.37,white,5
7.5,0.1,red,4
6.6,0.09,white,6
5.2,0.04,red,7
8.4,0.32,red,6
7.8,0.34,white,7
8.4,0.08,red,5
6.9,0.19,red,6
6.8,0.38,white,6
6.1,0.18,white,5
6.5,0.26,white,7
11.9,0.69,red,6
7.6,0.02,red,6
8.3,0.4,white,7
6.4,0.28,white,7
7.9,0.74,white,5
5.8,0.33,white,6
7.6,0.08,red,5
6.0,0.71,white,5
6.7,0.02,red,3
7.1,0.38,white,6
6.3,0.22,white,6
9.0,0.05,red,5
7.2,0.07,red,7
5.2,0.25,red,5
7.1,0.0,red,6
8.9,0.24,red,5
7.7,0.38,white,6
7.1,0.24,white,5
6.4,0.21,red,6
7.5,0.72,white,5
6.5,0.27,red,6
6.8,0.58,white,6
7.0,0.31,white,5
5.9,0.23,white,6
7.5,0.5,white,6
6.4,0.74,white,6
10.8,0.45,red,5
10.0,0.31,red,6
7.7,0.31,white,6
6.9,0.28,white,5
8.0,0.28,white,7
6.8,0.35,white,6
7.4,0.42,white,7
7.5,0.4,white,6
6.8,0.31,white,6
7.1,0.3,white,6
6.7,0.23,white,6
6.6,0.4,white,7
6.6,0.01,red,5
6.7,0.64,red,6
6.8,0.04,white,4
8.2,0.46,white,5
7.0,0.34,white,6
6.2,0.31,white,6
4.9,0.17,white,6
15.5,0.49,red,5
7.9,0.26,white,6
7.1,0.49,white,5
5.7,0.15,white,5
6.4,0.4,white,7
9.4,0.53,red,7
8.3,0.36,white,5
5.6,0.32,white,6
6.8,0.2,white,5
6.3,0.17,white,6
8.0,0.4,white,5
6.7,0.31,white,8
7.6,0.13,red,5
8.2,0.49,white,6
7.7,0.33,white,7
6.1,0.23,white,6
7.4,0.32,white,6
8.0,0.24,white,5
8.3,0.12,red,5
6.1,0.37,white,6
8.5,0.49,white,6
5.8,0.3,white,4
7.8,0.28,white,5
7.5,0.24,white,4
9.4,0.37,red,5
6.1,0.33,white,6
9.8,0.4,white,5
6.1,0.31,white,7
6.5,0.32,white,7
6.7,0.5,white,6
7.2,0.35,white,5
6.7,0.41,white,5
8.5,0.4,red,4
7.6,0.25,white,5
6.6,0.15,white,5
6.3,0.4,white,5
11.6,0.57,red,6
9.1,0.04,red,4
6.4,0.33,white,7
10.2,0.49,red,7
6.7,0.07,red,5
6.3,0.48,white,5
7.7,0.26,white,5
6.7,0.13,red,5
6.4,0.15,white,6
7.2,0.37,red,7
6.3,0.24,white,6
9.1,0.24,red,6
6.0,0.38,white,6
9.1,0.0,red,6
9.3,0.44,red,5
8.5,0.52,red,5
7.4,0.28,white,7
8.1,0.58,white,6
8.4,0.31,white,7
7.3,0.41,white,7
10.7,0.48,red,6
5.8,0.0,white,5
7.2,0.26,white,5
10.7,0.39,red,5
5.8,0.49,white,7
7.8,0.06,red,5
7.7,0.42,white,5
9.9,0.46,red,6
6.1,0.24,white,5
10.2,0.63,red,7
7.7,0.28,white,7
6.8,0.06,red,4
7.3,0.0,red,5
5.9,0.27,white,7
6.1,0.47,white,5
5.6,0.29,white,4
9.2,0.41,white,6
8.1,0.47,white,5
9.0,0.5,white,6
6.1,0.56,white,6
6.3,0.33,white,5
7.3,0.36,white,7
10.3,0.42,red,6
4.9,0.31,white,8
4.2,0.36,white,7
8.1,0.24,red,6
5.8,0.47,white,6
7.2,0.49,white,6
6.7,0.26,white,5
6.2,0.12,white,5
6.6,0.42,white,5
7.8,0.08,red,6
7.5,0.36,white,5
5.6,0.47,white,6
6.9,0.4,white,5
7.9,0.06,red,5
8.4,0.6,red,5
6.3,0.29,white,6
6.3,0.52,white,5
6.2,0.26,white,7
5.8,0.26,white,5
8.6,0.29,white,5
9.4,0.55,white,4
7.9,0.31,red,6
6.9,0.3,white,6
7.3,0.22,white,5
8.2,0.27,white,5
9.8,0.25,red,5
6.7,0.57,white,6
8.9,0.39,red,6
11.9,0.66,red,7
7.9,0.39,white,5
8.0,0.03,red,5
6.6,0.73,white,6
8.1,0.38,white,6
6.5,0.46,white,6
8.0,0.28,red,6
7.5,0.18,red,5
8.0,0.38,white,5
8.2,0.64,white,5
6.8,0.0,red,5
9.4,0.14,red,5
8.0,0.21,white,5
6.7,0.28,red,7
6.8,0.01,red,6
6.5,0.5,white,6
5.9,0.28,white,6
6.7,0.24,white,5
7.7,0.3,white,5
9.1,0.49,white,5
7.2,0.08,red,5
6.3,0.04,white,6
9.7,0.6,red,6
8.2,0.34,red,6
5.1,0.21,white,6
8.8,0.38,red,6
9.2,0.3,white,6
5.9,0.12,white,6
7.8,0.74,white,6
6.9,0.25,white,5
7.7,0.1,red,6
6.7,0.48,white,5
7.1,0.49,red,6
6.2,0.24,white,7
7.2,0.63,white,6
7.0,0.42,white,5
6.0,0.26,white,6
5.7,0.2,white,6
5.8,0.27,white,6
6.2,0.27,white,7
7.1,0.27,white,7
8.2,0.44,white,6
7.0,0.51,white,7
7.3,0.35,white,5
7.8,0.3,red,6
7.1,0.74,white,6
7.8,0.19,red,5
8.0,0.29,white,6
8.1,0.4,white,6
7.2,0.33,red,6
7.3,0.25,white,7
5.6,0.22,white,5
6.4,0.03,red,6
10.9,0.47,red,6
6.5,0.34,white,7
6.1,0.1,red,5
5.9,0.21,red,5
7.2,0.18,white,5
6.8,0.29,white,6
11.2,0.55,red,6
5.6,0.33,white,8
5.4,0.35,white,7
7.4,0.24,white,5
5.9,0.32,white,6
7.7,0.63,white,4
6.4,0.51,white,5
5.9,0.3,white,7
7.6,0.31,white,6
6.3,0.25,white,6
6.8,0.32,white,6
8.4,0.61,red,5
8.0,0.53,red,6
7.9,0.3,red,6
7.0,0.39,white,7
9.0,0.34,white,6
7.4,0.13,red,6
6.9,0.38,white,7
7.4,0.27,white,7
8.5,0.18,red,6
6.1,0.43,white,5
7.0,0.09,red,6
7.2,0.38,white,6
7.8,0.68,red,6
7.4,0.4,white,6
5.7,0.36,white,7
5.9,0.34,white,6
7.2,0.24,white,5
9.4,0.11,red,6
7.2,0.03,red,5
6.1,0.14,white,4
7.7,0.39,white,7
8.2,0.26,white,6
7.1,0.18,white,5
4.8,0.21,white,7
6.6,0.41,white,7
6.2,0.45,white,6
5.7,0.22,white,6
7.1,0.15,white,5
8.5,0.21,white,3
8.9,0.33,white,6
6.9,0.33,red,6
8.2,0.23,red,5
6.3,0.21,white,7
7.1,0.35,white,6
7.0,0.25,white,6
6.8,0.46,white,5
9.3,0.49,red,5
7.8,0.36,white,6
6.6,0.08,red,5
7.4,0.5,white,5
5.1,0.18,white,5
9.8,0.49,red,6
7.6,0.51,white,5
7.5,0.0,red,6
12.0,0.66,red,7
6.3,0.28,white,5
11.5,0.5,red,6
7.3,0.31,red,6
7.2,0.37,white,5
5.1,0.13,white,5
6.2,0.28,white,6
8.0,0.13,white,5
10.0,0.42,white,4
11.8,0.52,red,7
6.8,0.18,red,6
6.9,0.42,white,5
8.2,0.27,red,6
6.5,0.2,white,6
6.7,0.21,red,6
8.5,0.5,red,5
6.1,0.08,red,6
6.1,0.26,white,7
8.9,0.21,red,6
8.2,0.39,white,6
6.1,0.34,white,3
8.5,0.47,white,5
8.9,0.53,red,7
10.0,0.49,red,7
8.3,0.42,red,6
5.3,0.11,white,4
6.3,0.91,white,6
5.8,0.38,white,6
8.0,0.32,white,7
6.2,0.32,white,7
6.8,0.56,white,5
8.7,0.1,red,5
6.2,0.14,white,5
6.9,0.13,white,5
8.5,0.34,white,4
6.0,0.2,white,5
10.8,0.42,red,6
5.9,0.0,white,5
7.1,0.4,white,6
10.2,0.39,red,5
5.8,0.23,white,5
5.5,0.33,white,5
8.3,0.24,red,5
7.0,0.29,white,8
8.5,0.74,white,5
7.8,0.27,white,5
7.0,0.78,white,6
7.4,0.36,white,6
10.3,0.48,red,6
8.8,0.19,red,6
6.2,0.19,white,6
11.2,0.56,red,6
6.6,0.22,white,5
6.8,0.67,white,6
6.5,0.45,white,6
6.6,0.27,white,6
7.5,0.3,white,7
6.7,0.37,white,7
6.3,0.08,red,5
5.0,0.19,white,5
8.1,0.23,red,5
6.1,0.15,red,5
5.7,0.65,white,5
5.9,0.25,white,6
5.8,0.01,white,7
8.8,0.34,red,5
7.9,0.0,red,6
8.7,0.59,white,4
10.6,0.49,red,6
7.9,0.32,red,6
8.6,0.26,white,5
7.0,0.74,white,5
10.2,0.48,red,7
6.0,0.21,white,6
6.3,0.42,white,6
7.7,0.48,white,7
6.0,0.4,white,6
7.0,0.33,white,6
6.8,0.43,white,5
9.0,0.49,red,5
7.6,0.27,white,5
6.4,0.38,white,7
5.8,0.37,white,6
7.3,0.2,white,6
7.3,0.39,red,6
7.5,0.78,white,5
7.6,0.03,red,5
7.6,0.26,white,5
6.4,0.34,white,6
6.7,0.25,white,5
6.8,0.4,white,7
6.9,0.0,red,6
5.6,0.0,white,6
7.6,0.3,white,8
6.7,0.29,white,7
6.1,0.3,white,6
9.9,0.07,red,5
6.9,0.45,white,7
5.3,0.07,white,5
7.1,0.42,white,6
6.6,0.36,white,6
7.8,0.28,red,5
5.9,0.25,red,6
7.6,0.28,white,5
5.4,0.47,white,5
6.7,0.12,white,6
8.6,0.36,white,4
7.2,0.1,white,4
7.5,0.36,red,5
7.8,0.22,white,6
9.0,0.4,red,6
8.3,0.74,white,6
5.5,0.09,white,7
5.9,0.22,white,7
6.0,0.22,white,6
4.6,0.15,red,4
8.6,0.38,red,5
8.0,0.39,white,6
7.3,0.62,white,6
5.4,0.24,white,6
6.3,0.27,white,7
7.2,0.41,white,5
7.1,0.01,red,6
7.6,0.06,red,5
6.0,0.3,white,5
7.8,0.0,red,5
5.5,0.22,white,6
6.4,0.22,white,6
10.4,0.61,red,5
6.8,0.31,red,6
7.3,0.16,white,5
8.0,0.22,red,5
6.3,0.32,white,8
9.6,0.28,white,5
8.3,0.45,white,6
6.4,0.57,white,5
6.4,0.23,white,5
