fixed_acidity,citric_acid,wine_color,median_wine_quality
6.0,0.37,white,6
6.4,0.47,white,6
8.0,0.23,red,6
7.3,0.26,white,5
7.3,0.28,white,6
5.2,0.2,white,6
6.4,0.12,red,7
6.8,0.26,white,6
6.1,0.5,white,6
8.4,0.4,red,5
7.8,0.33,white,6
7.9,0.25,red,6
8.7,0.51,red,5
6.3,0.01,red,6
5.0,0.54,white,8
6.6,0.15,red,5
5.8,0.32,white,8
6.2,0.03,white,5
6.8,0.03,red,6
7.2,0.06,red,6
10.6,0.57,red,7
6.4,0.37,white,7
7.6,0.49,white,5
6.0,0.13,white,5
6.3,0.16,white,5
6.9,0.15,white,5
6.1,0.36,white,6
6.5,0.19,white,5
8.5,0.33,white,6
8.8,0.17,red,5
6.5,0.22,white,7
6.0,0.32,red,4
7.8,0.58,white,6
6.0,0.39,white,7
6.9,0.31,white,6
5.5,0.3,white,6
6.8,0.51,white,5
7.9,0.29,white,7
11.9,0.51,red,6
6.6,0.49,white,6
7.6,0.35,white,6
10.0,0.11,red,5
6.0,0.25,white,6
6.4,0.31,white,6
6.4,0.09,white,6
7.4,0.2,white,5
9.1,0.22,red,5
6.3,0.16,red,5
7.6,0.52,white,6
9.5,0.26,red,5
5.9,0.1,red,6
10.8,0.41,red,6
6.1,0.45,white,5
5.2,0.29,white,6
12.7,0.45,red,6
7.5,0.38,white,5
7.9,0.29,red,6
8.6,0.7,white,6
7.9,0.27,white,6
10.7,0.53,red,8
7.6,0.33,red,5
7.6,0.14,white,5
7.8,0.01,red,5
5.4,0.3,white,7
5.6,0.26,white,5
6.5,0.39,white,6
7.1,0.31,white,7
7.2,0.13,red,6
6.4,0.12,white,4
7.7,0.28,red,5
9.4,0.24,red,6
5.2,0.27,white,7
7.5,0.28,white,6
9.3,0.24,red,5
6.1,0.42,white,5
7.15,0.24,white,6
5.9,0.19,white,5
7.5,0.44,white,6
7.4,0.29,white,6
9.2,0.27,white,5
7.8,0.09,red,8
7.1,0.37,white,7
9.0,0.3,white,5
6.0,0.15,white,5
7.7,0.26,red,5
7.4,0.24,red,5
10.2,0.88,white,4
6.8,0.11,red,5
10.4,0.73,red,7
6.9,0.01,red,5
11.9,0.5,red,6
6.7,0.18,white,6
7.2,0.05,red,6
8.0,0.39,red,6
8.6,0.38,white,6
7.7,0.52,white,7
7.1,0.5,white,5
8.9,0.49,red,5
9.1,0.3,red,6
6.7,0.17,white,5
7.9,0.3,white,4
9.9,0.26,red,5
9.4,0.23,white,5
6.6,0.47,white,5
6.6,0.02,red,6
7.8,0.44,red,7
7.1,0.64,white,5
5.9,0.24,white,7
11.3,0.45,red,6
5.5,0.03,red,8
8.0,0.16,red,7
10.3,0.44,red,6
5.9,0.26,white,6
7.3,0.69,white,5
7.4,0.34,white,5
8.8,0.04,red,6
8.4,0.25,white,5
8.1,0.7,red,5
7.2,0.21,red,6
10.0,0.22,red,5
6.9,0.25,red,6
9.9,0.38,red,7
7.6,0.23,red,5
6.3,0.48,red,6
4.8,0.12,white,4
7.5,0.2,red,5
5.4,0.16,white,6
10.4,0.58,red,6
8.3,0.43,white,6
9.1,0.46,red,6
12.8,0.66,red,7
8.7,0.42,white,5
5.6,0.16,white,6
6.4,0.48,white,6
6.7,0.08,red,4
7.9,0.33,white,6
7.0,0.02,white,5
10.8,0.33,red,5
11.0,0.58,red,7
7.7,0.3,red,7
10.8,0.3,red,5
9.1,0.38,white,3
7.0,0.41,white,5
8.7,0.57,white,5
5.9,0.21,white,5
5.9,0.14,white,6
5.8,0.2,white,5
7.0,0.13,red,5
10.4,0.5,red,6
8.0,0.17,red,6
7.2,0.47,white,4
8.2,0.4,red,7
10.9,0.58,red,5
8.7,0.73,white,5
11.8,0.38,white,3
7.5,0.15,red,5
7.2,0.04,red,5
7.2,0.54,white,6
7.4,0.48,white,5
6.2,0.25,white,5
7.0,0.49,white,6
5.7,0.29,white,6
7.3,0.03,red,5
5.6,0.4,white,8
5.0,0.21,white,6
6.7,0.22,white,5
5.6,0.31,white,6
7.3,0.54,white,4
7.7,0.18,red,6
6.5,0.23,white,5
6.9,0.21,red,6
7.5,0.37,white,5
8.9,0.32,white,5
5.0,0.04,white,6
9.0,0.23,red,5
6.9,0.39,white,6
6.3,0.49,white,6
7.4,0.35,white,6
6.5,0.54,white,6
6.9,0.41,white,6
7.7,0.18,white,6
7.9,0.36,white,6
4.9,0.34,white,5
5.7,0.26,white,6
11.6,0.58,red,5
8.8,0.29,red,5
6.8,0.22,white,5
5.4,0.1,white,5
7.6,0.12,white,4
8.3,0.38,white,5
5.6,0.36,white,6
6.1,0.41,white,5
7.3,0.3,white,6
7.0,0.05,red,5
10.7,0.34,red,5
6.5,0.36,white,8
6.1,0.21,white,5
6.0,0.12,white,5
10.3,0.5,red,5
8.0,0.36,white,7
7.5,0.51,white,5
6.2,0.3,white,6
8.0,0.36,red,5
7.6,0.36,white,4
8.6,0.33,white,5
7.7,0.12,red,7
7.9,0.4,red,5
8.4,0.15,red,5
6.6,0.01,white,5
6.4,0.36,white,5
8.0,0.32,red,6
7.6,0.2,white,5
7.5,0.34,red,7
5.7,0.37,white,6
7.8,0.37,white,5
6.8,0.59,white,6
6.8,0.48,white,6
7.1,0.07,red,5
4.7,0.0,white,6
5.7,0.16,white,6
5.8,0.13,white,5
12.7,0.49,red,5
8.1,0.0,red,5
6.3,0.74,white,6
6.6,0.04,red,6
5.3,0.12,white,6
7.0,0.08,red,6
8.1,0.41,white,5
8.1,0.36,white,7
5.8,0.5,white,5
7.9,0.31,white,5
6.4,0.27,white,6
8.0,0.44,white,6
5.9,0.08,red,6
8.6,0.25,red,6
6.5,0.18,white,5
9.2,0.5,red,7
9.0,0.25,red,5
7.5,0.26,red,5
7.6,0.23,white,5
6.1,0.32,white,6
6.0,0.52,white,7
7.1,0.41,white,6
7.3,0.32,white,4
11.2,0.5,red,5
6.8,0.08,red,6
6.2,0.52,white,6
8.0,0.05,red,6
6.3,0.13,red,6
6.4,0.14,red,5
9.9,0.24,red,5
8.0,0.33,white,7
8.1,0.37,white,6
8.6,0.17,red,5
7.7,0.25,red,6
6.1,0.4,white,6
8.8,0.14,red,5
5.8,0.15,white,6
6.1,0.16,white,6
7.3,0.05,red,3
5.9,0.31,white,7
6.1,0.23,red,6
6.6,0.57,white,7
7.0,0.12,red,7
5.0,0.25,white,6
8.3,0.14,red,5
7.5,0.26,white,5
8.8,0.64,red,5
7.0,0.16,red,5
7.0,0.14,white,5
9.6,0.28,red,5
5.9,0.02,white,5
8.9,0.34,white,5
6.2,0.18,white,5
8.8,0.38,white,6
5.1,0.33,white,7
5.8,0.28,white,5
6.9,0.27,white,6
6.0,0.47,white,4
7.6,0.49,red,6
6.4,0.02,red,5
7.9,0.64,white,7
6.8,0.42,white,7
6.2,0.24,red,6
9.2,0.23,red,5
7.5,0.68,white,5
7.6,0.29,white,5
7.7,0.27,red,5
7.9,0.42,red,6
8.3,0.49,red,7
8.4,0.1,red,6
8.3,0.38,red,6
7.6,0.64,white,5
9.4,0.48,red,7
7.0,0.56,white,6
7.2,0.15,white,7
8.0,0.49,white,6
8.0,0.24,red,6
7.0,0.19,white,5
7.1,0.42,red,5
6.1,0.12,white,4
9.8,0.38,red,5
5.1,0.28,white,5
5.5,0.35,white,6
7.2,0.3,red,5
7.8,0.35,white,6
6.0,0.31,white,8
9.9,0.49,red,7
5.4,0.28,white,6
4.9,0.27,white,6
8.9,0.35,red,6
7.8,0.18,white,6
5.7,0.42,white,5
8.5,0.48,white,6
8.6,0.46,white,6
6.6,0.07,white,5
5.5,0.29,white,6
8.8,0.4,red,7
8.6,0.4,white,5
9.1,0.5,red,8
6.8,0.71,white,6
6.5,0.17,white,4
6.0,0.34,white,6
9.9,0.55,red,5
6.8,0.17,white,6
6.1,0.35,white,5
7.3,0.74,white,5
5.4,0.22,white,6
7.9,0.44,white,6
8.0,0.57,white,5
12.3,0.63,red,5
6.1,0.44,white,5
8.4,0.04,red,5
6.3,0.23,white,6
8.3,0.23,white,5
6.9,0.56,white,5
5.0,0.12,white,5
8.8,0.49,red,5
6.6,0.99,white,6
5.9,0.37,white,5
6.4,0.39,white,6
7.5,0.3,red,7
9.9,0.19,red,5
7.6,0.41,white,5
10.7,0.38,red,7
12.8,0.63,red,6
6.9,0.06,red,4
8.0,0.71,white,5
5.2,0.22,white,6
7.6,0.33,white,5
7.8,0.32,white,6
7.9,0.41,red,6
8.9,0.36,red,5
6.9,0.62,white,7
5.6,0.39,white,6
5.5,0.26,white,8
10.7,0.56,white,6
10.0,0.2,red,6
8.5,0.31,white,5
5.5,0.38,white,6
6.7,0.74,white,6
6.1,0.58,white,5
5.4,0.31,white,7
6.1,0.27,white,8
12.8,0.74,red,7
9.1,0.42,red,5
7.1,0.28,red,5
6.0,0.06,red,6
8.4,0.12,red,6
8.3,0.22,red,5
7.8,0.48,red,5
8.2,0.32,white,6
5.0,0.16,white,6
7.8,0.07,red,6
6.5,0.55,white,5
5.5,0.45,white,5
10.4,0.63,red,7
5.1,0.0,red,7
8.3,0.57,white,5
9.9,0.5,red,5
5.5,0.32,white,5
8.8,0.23,white,6
9.1,0.23,red,5
11.7,0.63,red,6
8.5,0.26,white,6
5.6,0.3,white,7
10.0,0.5,red,6
6.4,0.08,white,5
7.2,0.5,white,5
7.4,0.41,white,6
7.3,0.23,white,6
6.4,0.18,white,5
6.6,0.21,white,7
6.0,0.66,white,6
9.6,0.12,red,6
10.1,0.23,red,6
6.4,0.53,white,5
13.7,0.68,red,6
8.3,0.2,red,4
5.8,0.24,white,5
8.2,0.42,white,5
7.2,0.62,white,4
8.9,0.34,red,6
6.6,0.43,white,6
6.6,0.5,white,6
7.1,0.06,red,5
6.1,0.38,white,6
6.9,0.5,white,6
6.9,0.02,red,5
7.0,0.02,red,6
12.7,0.65,red,5
8.3,0.37,white,5
6.7,0.27,red,6
7.2,0.18,red,6
7.8,0.4,white,7
10.2,0.65,red,6
8.4,0.3,white,6
8.6,0.36,red,5
9.4,0.32,white,5
7.2,0.16,white,5
6.9,0.34,white,6
6.6,0.18,white,5
7.1,0.29,red,6
8.1,0.39,white,6
7.1,0.6,red,6
7.0,0.18,red,5
6.8,0.23,white,5
5.4,0.29,white,7
7.7,0.51,white,6
8.2,0.44,red,6
7.3,0.5,white,6
7.2,0.15,red,6
9.4,0.59,red,6
6.2,0.5,white,5
8.4,0.39,red,7
5.8,0.39,white,6
9.8,0.46,white,5
10.2,0.43,red,5
6.5,0.14,red,5
6.7,0.43,white,6
9.6,0.23,red,5
7.9,0.46,white,3
7.9,0.22,white,5
6.8,0.29,red,5
7.5,0.49,white,7
11.4,0.5,red,5
6.4,0.15,red,6
6.6,0.09,red,6
5.8,0.4,white,6
8.6,0.49,white,6
7.8,0.18,red,5
7.4,0.74,white,5
7.8,0.04,red,5
7.1,0.2,red,6
6.0,0.5,white,5
11.9,0.49,red,5
7.8,0.7,red,5
9.8,0.32,red,5
5.2,0.26,white,6
7.6,0.21,red,5
5.1,0.26,white,6
9.0,0.24,red,5
7.1,0.14,red,5
7.2,0.25,white,5
12.4,0.58,red,6
7.6,0.11,red,5
8.1,0.33,white,6
8.2,0.39,red,7
6.7,0.21,white,6
10.8,0.44,red,6
8.2,0.49,red,6
7.8,0.2,white,6
5.7,0.47,white,8
7.0,0.36,red,6
7.3,0.34,white,6
8.6,0.22,red,6
15.9,0.65,red,5
7.1,0.44,white,7
7.6,0.0,red,6
5.8,0.02,red,5
7.0,0.28,red,6
6.4,0.1,white,5
4.4,0.1,white,6
7.0,0.52,white,5
8.7,0.09,red,7
6.1,0.17,white,6
5.4,0.33,white,6
6.8,0.49,white,5
8.1,0.46,white,4
9.7,0.32,red,5
5.6,0.37,white,5
8.6,0.4,red,5
8.6,0.3,red,5
6.8,0.53,white,5
6.4,0.04,red,6
9.2,1.0,red,4
6.3,0.35,white,7
6.9,0.04,red,6
9.5,0.66,red,5
7.3,0.39,white,5
9.3,0.57,red,5
7.2,0.09,white,4
7.5,0.62,white,5
8.3,0.31,white,6
7.9,0.35,white,5
8.5,0.44,red,5
10.4,0.46,red,7
7.0,0.46,white,6
8.5,0.42,red,7
8.2,0.09,red,6
7.6,0.46,white,5
8.1,0.26,white,6
8.8,0.3,red,4
6.6,0.44,white,6
5.3,0.01,red,7
8.0,0.08,red,5
8.5,0.3,white,4
7.9,0.34,white,6
13.3,0.52,red,6
5.6,0.13,white,7
7.3,0.3,red,5
6.7,0.39,white,5
6.7,0.46,white,6
6.7,0.23,red,5
9.4,0.29,white,3
7.9,0.41,white,8
5.1,0.3,white,6
7.1,0.26,white,6
5.4,0.13,white,7
6.0,0.04,white,4
10.3,0.52,red,5
7.7,0.61,white,5
9.8,0.43,red,5
7.3,0.2,red,6
10.0,0.45,red,5
7.2,0.02,red,6
7.5,0.12,red,6
10.0,0.24,red,6
6.2,0.2,white,6
7.4,0.47,red,5
8.1,0.28,red,7
7.1,0.47,white,5
6.9,0.14,red,6
6.3,0.19,red,6
5.6,0.18,white,6
7.1,0.25,white,7
7.1,0.16,red,5
13.0,0.49,red,6
7.7,0.36,white,6
6.8,0.28,white,6
6.0,0.42,white,8
7.4,0.46,red,5
8.6,0.68,red,5
8.5,0.4,white,6
9.3,0.4,red,6
7.0,0.23,white,6
6.2,0.41,white,6
8.4,0.42,white,5
10.2,0.37,red,6
5.9,0.12,red,5
6.5,0.53,white,7
7.4,0.3,red,8
8.9,0.35,white,7
6.2,0.43,white,5
10.3,0.48,white,5
5.6,0.57,white,7
9.6,0.35,red,6
5.4,0.08,red,6
6.8,0.32,red,7
8.7,0.34,white,7
9.2,0.49,red,5
7.4,0.25,white,6
8.7,0.4,white,6
6.3,0.36,white,5
6.5,0.1,red,6
7.4,0.1,red,7
6.4,0.17,white,5
10.6,0.43,red,6
8.2,0.21,red,5
12.5,0.54,red,7
8.4,0.36,white,6
8.7,0.02,red,5
6.6,0.39,white,6
8.2,0.38,white,6
7.3,0.24,white,6
5.2,0.45,white,8
7.6,0.47,white,5
8.8,0.0,red,6
6.5,0.29,white,7
9.1,0.33,red,7
9.9,0.46,white,4
6.4,0.42,white,6
6.2,0.23,white,6
5.8,0.25,white,6
15.6,0.76,red,7
6.8,0.12,white,5
11.5,0.51,red,6
6.1,0.15,white,6
6.6,0.26,white,8
5.9,0.2,white,6
11.1,0.48,red,5
5.9,0.16,white,5
6.4,0.09,red,4
6.45,0.42,white,7
7.5,0.67,white,6
6.7,0.4,white,7
8.4,0.32,white,6
8.6,0.35,white,3
7.7,0.42,red,5
8.0,0.17,white,4
7.7,1.0,white,6
9.2,0.18,red,6
5.1,0.32,white,6
7.4,0.33,red,6
9.1,0.37,red,7
7.4,0.66,white,5
8.0,0.3,white,6
11.8,0.55,red,6
7.0,0.27,white,7
6.1,0.16,red,7
7.0,0.73,white,5
6.3,0.43,white,7
6.9,0.21,white,5
8.7,0.46,white,6
7.7,0.27,white,6
6.6,0.6,white,7
6.3,0.28,red,5
8.6,0.51,red,5
9.4,0.31,red,6
8.4,0.2,red,5
12.9,0.55,red,6
8.3,0.36,red,6
7.7,0.46,white,5
5.3,0.29,white,5
10.8,0.43,red,6
7.8,0.41,white,6
8.3,0.15,red,5
7.2,0.65,white,5
3.8,0.02,white,6
8.5,0.39,white,6
6.0,0.49,white,5
12.4,0.49,red,6
8.8,0.74,white,6
8.7,0.31,red,5
8.6,0.24,red,5
6.1,0.07,white,5
8.9,0.14,red,5
5.0,0.24,red,5
6.5,0.16,white,5
8.4,0.11,red,5
6.5,0.4,white,5
9.2,0.49,white,4
7.1,0.79,white,6
7.2,0.24,red,5
11.3,0.41,red,5
5.8,0.29,white,7
5.5,0.25,white,6
7.2,0.61,white,6
5.8,0.18,white,7
6.6,0.53,white,5
8.2,0.43,red,6
6.8,0.21,white,6
6.0,0.65,white,5
6.6,0.2,red,5
8.3,0.3,white,6
6.6,0.51,white,5
8.3,0.34,white,6
9.2,0.52,red,6
8.3,0.41,white,7
7.8,0.24,white,7
8.5,0.2,red,6
5.3,0.34,white,6
6.6,0.56,white,5
12.2,0.49,red,5
5.6,0.34,white,7
8.7,0.26,red,6
7.8,0.17,red,5
8.6,0.28,white,5
5.2,0.31,white,7
5.7,0.13,white,6
8.2,0.6,red,5
8.4,0.36,red,4
7.0,0.54,white,5
9.2,0.37,white,6
7.2,0.19,white,5
10.1,0.5,red,7
7.6,0.74,white,7
9.8,0.34,red,5
8.2,0.0,red,4
6.0,0.19,red,6
8.1,0.42,white,7
5.3,0.38,white,6
10.4,0.55,red,6
9.3,0.36,red,6
7.5,0.06,red,6
9.0,0.0,red,5
9.8,0.45,white,5
9.6,0.54,white,5
6.0,0.06,white,5
11.5,0.59,red,6
6.5,0.44,white,7
15.6,0.49,red,5
6.2,0.47,white,5
7.8,0.12,red,6
6.7,0.69,white,6
11.6,0.54,red,7
6.6,0.52,white,5
11.2,0.74,red,5
6.2,0.17,red,5
9.0,0.31,red,6
6.9,0.17,red,6
12.6,0.49,red,6
8.3,0.48,red,7
6.4,0.56,white,5
5.6,0.0,red,5
6.8,0.19,white,5
6.2,0.31,red,5
9.2,0.42,white,4
6.0,0.36,white,6
11.3,0.66,red,6
8.0,0.63,red,6
6.5,0.49,white,6
5.2,0.46,white,5
7.6,0.68,white,5
6.8,0.74,white,6
5.3,0.3,white,6
9.2,0.2,red,5
8.6,0.27,red,5
13.0,0.65,red,5
9.0,0.49,white,5
7.7,0.34,white,6
7.6,0.31,red,6
5.3,0.11,red,7
9.5,0.22,red,6
6.3,0.31,white,6
6.2,0.46,white,6
7.5,0.25,white,6
8.0,0.33,red,6
9.8,0.74,white,4
8.8,0.21,red,5
7.0,0.4,white,6
11.8,0.49,red,7
5.4,0.32,white,6
10.1,0.34,red,7
6.7,0.44,white,5
7.7,0.44,white,6
8.9,0.31,red,6
7.5,0.74,white,6
6.5,0.14,white,5
9.1,0.32,red,6
8.6,0.0,red,6
6.7,0.08,white,5
9.9,0.56,red,6
4.7,0.29,white,6
6.9,0.18,red,6
5.8,0.34,white,7
7.1,0.17,red,5
6.8,0.2,red,5
10.4,0.54,red,5
7.0,0.21,red,6
6.4,0.16,white,5
8.0,0.25,white,6
7.9,0.17,red,5
6.5,0.48,white,4
10.5,0.66,red,7
6.4,0.4,red,6
7.1,0.29,white,8
9.2,0.23,white,6
6.7,0.51,white,5
5.3,0.24,white,5
9.6,0.47,red,7
10.2,0.42,red,7
7.2,0.42,white,6
6.0,0.23,white,6
9.5,0.41,white,6
7.5,0.19,red,5
7.4,0.08,red,4
12.9,0.49,red,7
6.6,0.14,white,6
9.3,0.26,red,5
8.0,0.26,white,4
7.8,0.3,white,5
7.9,0.38,white,7
5.2,0.18,white,7
10.1,0.4,red,7
7.6,0.34,red,7
6.3,0.38,white,7
6.0,0.04,red,5
8.7,0.3,red,7
9.6,0.31,red,7
7.2,0.23,white,5
